sample_id,timestamp,time_of_day,usage_scenario,throughput_mbps,latency_ms,jitter_ms,packet_loss_rate,reliability_target,connection_density_km2,mobility_kmph,area_traffic_capacity_score,ai_load_score,resilience_score,future_load_target,imt2030_scenario_label,generation_profile
681,2026-01-25 18:31:57.004822405,18,ISAC,274.97564794843385,4.512901806355089,1.1600334236159262,0.0005523537409328908,99.999,773682.1116814445,353.2539846255637,0.5186102166016081,0.5753522411636331,0.8023020272204856,221.04442821995357,ISAC,IMT-2030-M.2160-compliant
1103,2026-01-06 02:10:27.832739340,2,ISAC,242.41089220960876,4.130922467971012,1.0805363799494851,0.0002253226344741046,99.999,758783.8937315762,179.3510548815275,0.49702254574176036,0.6846726863556952,0.7589719188135235,203.63651827310088,ISAC,IMT-2030-M.2160-compliant
395,2026-01-12 00:11:58.855282502,0,AIAC,381.52414213605124,5.9243815268415805,1.9356862730586148,0.0007317829989891556,99.999,567877.8476579837,318.348107860322,0.4147454821860836,0.7916916574992435,0.8165338130047489,246.37320671627646,AIAC,IMT-2030-M.2160-compliant
931,2026-01-16 05:55:40.386552001,5,ISAC,156.0556099640071,3.300228795278849,1.262764417005409,0.0005455973779494107,99.999,434483.45235475095,228.59397562570118,0.47748899603388245,0.571200346998396,0.8680752646846888,155.6170908347539,ISAC,IMT-2030-M.2160-compliant
498,2026-01-14 01:38:14.264473334,1,AIAC,195.93541101832358,7.546163734070094,2.6825987292534994,0.0005451087455448958,99.999,566861.0670101773,264.3803664338086,0.33057008927641357,0.8793398161087029,0.7512202866103992,149.9349156713022,AIAC,IMT-2030-M.2160-compliant
463,2026-01-20 02:19:05.402010917,2,AIAC,377.9527567311376,4.3874617701065155,2.3265822212961256,0.0003947352455446242,99.999,282821.71304540604,222.78167984060212,0.34982912245748454,0.8570783114803908,0.8053286534771952,223.90757275903454,AIAC,IMT-2030-M.2160-compliant
951,2026-01-16 23:56:58.553849036,23,ISAC,227.79692713057634,3.027339504962205,0.7473728158757631,0.0008470417538913846,99.999,384635.072318418,136.7461581367267,0.5265332516537302,0.5819434297681326,0.7450186466186763,175.65571958958063,ISAC,IMT-2030-M.2160-compliant
82,2026-01-25 12:04:06.796508436,12,AIAC,456.6233894443026,2.437392793331486,1.594094668242319,0.0001618724891161157,99.999,602708.7329749424,290.79266621039494,0.4670205409354483,0.7867559594908752,0.8535631247154772,280.31456189174617,AIAC,IMT-2030-M.2160-compliant
44,2026-01-02 04:59:40.767651728,4,AIAC,351.4125942429953,8.185479367628659,2.709260205530223,0.0004052167936314576,99.999,627563.7963075191,186.9668018579414,0.4654039006463008,0.8740908189277464,0.77066402919608,232.05695082114082,AIAC,IMT-2030-M.2160-compliant
129,2026-01-17 16:06:56.796489274,16,AIAC,371.45301899334237,6.598236277822151,0.9799847419886449,0.0005569715466497166,99.999,118340.56416330434,265.62849640518266,0.4236742605387595,0.7813540644965535,0.75248225982995,241.44988228040833,AIAC,IMT-2030-M.2160-compliant
1171,2026-01-23 13:59:09.855955459,13,ISAC,247.7858682334179,2.9220185916078885,1.104002371334231,0.0003929673988594234,99.999,518930.09404610895,204.73384496149222,0.4380134688876562,0.6577154398509683,0.7727544332887346,177.1741694439226,ISAC,IMT-2030-M.2160-compliant
744,2026-01-24 10:54:30.988463041,10,ISAC,157.0597820972858,2.9721548417912844,1.3413804846279533,0.0002233257104059424,99.999,505210.0659892443,229.54998122712763,0.406069701979589,0.6712753089328487,0.7745669137948313,126.53749749018895,ISAC,IMT-2030-M.2160-compliant
